franchise_id,franchise
192492,Jack Ryan
123724,Dracula (Hammer)
211753,Caprona
422837,Blade Runner
619537,Dernier train pour Busan
2326,Underworld
131635,Hunger Games
283579,Divergente
1241,Harry Potter
179892,Kick-Ass
232844,L'Île de Nim
31562,Jason Bourne
52097,Camping
10455,Chucky
19285,Leprechaun Collection
2344,Matrix
1565,28… plus tard
119,Le Seigneur des anneaux
8936,Bridget Jones
98513,En Territoire Ennemi
16302,Battle Royale
115840,La Vérité si je mens !
8091,Alien
3167,Ace Ventura
9818,Mortal Kombat
410261,Dingo et Max
111751,Massacre à la Tronçonneuse
96871,Le Père de la Mariée
1570,Die Hard
8819,Casper
115142,Les Contes de la Crypte
495527,Jumanji 
9649,Mariachi
9887,La Mutante
120794,Batman
1048282,Heat
439053,Brooklyn Cigar Co.
136214,Pocahontas
112399,Under Siege
283733,Les Trois Frères
180854,Junior le Terrible
91698,Chili Palmer
9068,The Prophecy
247294,Showgirls
85861,Le Flic de Beverly Hills
8581,Freddy Krueger
43072,The Mask
85960,My Girl
150156,City Slickers 
96665,Dumb & Dumber
8050,Highlander
8580,Karaté Kid
9338,Police Academy
508334,Angels in the ...
209739,MacGyver (Téléfilms)
167985,Richie Rich
97771,Les Indians
170452,Timecop
217704,Chroniques des Vampires
351684,Les Pierrafeu
115570,Star Trek : La nouvelle génération
9436,The Crow 
37139,Y a-t-il Un Flic ?
43064,Speed
91945,American Ninja
14246,Sniper
103573,Sister Act
721111,U.S. Marshals
328,Jurassic Park
11716,La Famille Addams
9328,Sauvez Willy
195441,Denis la Malice
412680,Chasse à l'Homme
52888,Les Visiteurs
725681,American Civil War Collection
1120657,Cliffhanger Collection
751156,Hocus Pocus Collection
625861,L'Impasse
643572,Chained Heat Collection
87214,Le Gang Des Champions
9521,Allô Maman
126220,Waxwork
721992,Shadowchaser
72119,"Chérie, j'ai rétréci les gosses"
71458,Ninja Kids : Les 3 Ninjas
86341,Fortress
102782,House
173738,La caverne de la rose d'or
86336,Basic Instinct
9888,"Maman, j'ai raté l'avion !"
48188,Fleur de poison
10713,Universal Soldier
8979,Wayne's World
123251,Aigle de Fer
52988,Hot Shots !
171439,F/X : Effets spéciaux
528,Terminator
869156,The Rocketeer Collection
9743,Hannibal Lecter
168545,Vengeance Diabolique
10457,Il était une fois en Chine
151,Star Trek : La série originale
597142,Backdraft
397444,Un flic à la maternelle
91799,Tremors
264,Retour vers le futur
93295,48 Heures
89151,Gremlins
399,Predator
230,Le Parrain
107688,Trois Hommes et un bébé
1575,Rocky
238448,Les Ripoux
5547,RoboCop
45154,Darkman
126166,Delta Force
518611,Enterré Vivant
9329,Young Guns
118221,Week-end chez Bernie
397842,Amityville
534531,Prancer Collection
104833,Fletch
105322,Kickboxer
87631,Les Trois Mousquetaires (Richard Lester)
98853,Cyborg
224976,Road House
2980,S.O.S. Fantômes
109609,La Mouche
463165,Black Cobra
5202,L'orchidée sauvage
101688,L'Équipée du cannonball
84,Indiana Jones
91746,Bill & Ted's Most Excellent Collection
945,L'Arme fatale
945475,Beetlejuice Collection
124492,Les Douze Salopards
5039,Rambo
10456,L'Inspecteur Harry
10453,Poltergeist
979674,Eugene Collection
9332,Crocodile Dundee
10893,Critters
86347,Court-Circuit
123256,Pumpkinhead
36694,Bloodsport
514978,Le Scorpion rouge
8917,Hellraiser
46512,Portés Disparus
1054183,Delta Force Commando Collection
101471,Le Retour des Morts-Vivants
133923,Zombi
647077,Un prince à New York
107725,Creepshow
2366,Les Dents de la mer
52783,Wall Street
162028,Étroite surveillance
744915,The Curse Collection (1987-1991)
124951,Mannequin
86058,Dirty Dancing
8537,Superman
175858,Hidden
14377,Un justicier dans la ville
121195,9 Semaines ½
39460,L'Eau des collines
143755,"Henry, portrait d'un serial killer"
609766,Patton
531330,Top Gun
89264,À la poursuite du diamant vert
135502,Allan Quatermain
387219,L'Arnaqueur
384920,Karaté Tiger
135498,King Kong (1976)
476054,Hitcher
12141,Trois hommes et un couffin
977885,The Perry Mason TV Movie Collection
133830,Star Wars: Les Aventures des Ewoks
98036,Re-Animator
8945,Mad Max
98168,Vampire... vous avez dit vampire ?
43066,Teen Wolf
645,James Bond 007
86307,Cocoon
1149208,Commando - Collection
430201,Démons
239968,La Cage aux folles
248126,Splash
4438,L'Odyssée de l'Espace
43055,Conan le Barbare
1105385,Tom Cody Collection
466318,Bachelor Party
91430,L'Histoire sans fin
975227,This Is Spinal Tap Collection
10,Star Wars
507956,Tendres Passions
108693,Bonjour Les Vacances
151263,WarGames
87220,Cours après moi Shérif
479888,The Thing
547875,Le Grand Pardon
324371,Les Guerriers du Bronx
86083,Grease
10517,Le Gendarme
752992,Hercule Poirot (Peter Ustinov)
164397,Class of ...
137766,Zapped!
212279,Piranha
41649,La Boum
312735,Annie
63043,TRON
115838,Les Chroniques de Snake Plissken
1960,Evil Dead
141086,Métal Hurlant
10919,La Malédiction
923500,Gates of Hell Trilogy
88574,Scanners
174218,Hurlements
109592,Porky's
91361,Halloween
215293,Les Sous-Doués
123255,Le Bal de l'horreur
351721,Le Shérif
59586,Le lagon bleu
783802,Héros d'Apocalypse
9735,Vendredi 13
91663,Y a-t-il un pilote dans l'avion ?
168182,Philo & Clyde
104847,Le golf en folie
112636,The Blues Brothers
530064,Shining
10964,Pied-plat
159742,Commissaire Tanquerelle
983340,The Jerk Collection
124950,American Graffiti
52835,Les Bronzés
1077146,Le Jeu de la mort
366826,Navarone
33938,Airport
267922,La colline a des yeux
930413,The Goodbar Collection
93287,La 7ème Compagnie
288280,Saturday Night Fever
12087,La Coccinelle
257053,Carrie
351667,Un éléphant ça trompe énormément
694606,Rocky Horror Collection
452675,Cleopatra Jones
359005,Jake Gittes
105764,Le Grand Blond
534652,Tommy Gibbs Collection
1188146,Tom Sawyer/Huckleberry Finn Collection
330605,L'Arnaque
12263,L'Exorciste
1709,La Planète des Singes Originale
372257,L'Aventure du Poséidon
751961,Texasville
155474,French Connection
583555,Trinita
11875,Les Aventures de Fifi Brindacier
956687,Easy Rider Collection
584320,Rooster Cogburn
625812,Butch Cassidy et le Kid
91813,Angélique
264338,Rosemary's Baby
157890,Matt Helm
266731,Cat Stevens & Hutch Bessy
103001,Fantômas
690952,Les Oiseaux
990446,La grande évasion
105597,Les Trois Mousquetaires (Bernard Borderie)
110021,Les Sept Mercenaires
422193,Le Blob
512168,Maigret (Jean Gabin)
121938,Le Hobbit
86029,Charlie et ses Drôles de Dames
290973,Tigre et Dragon
122017,Planète Hurlante
148517,Pagnol - Souvenirs d'enfance
149191,Lady Snowblood
11582,Don Camillo
1222571,Manon des sources (Collection)
156152,La trilogie marseillaise de Marcel Pagnol
328073,Traque sur Internet
666934,Jet Set
86110,Journal d'un dégonflé
3963,Les Rivières Pourpres
135416,Prometheus
146136,L'Armure de Dieu
183680,OSS 117 (Original) 
378025,Le Tigre du Bengale
9380,American Werewolf
115225,Les Démons du maïs
1076903,Kaamelott
189159,Le Marin des Mers de Chine
269098,Police Story
1062948,Twister
85890,Les Aventures de Flynn Carson
535270,Mandingo Collection
166698,Mondwest
48194,Ator l'invincibile
201930,Blacula
405256,Dolemite
115776,Robert Langdon
340623,La Fissure
937,La Panthère Rose (Original)
491769,Mysterians
9046,Histoires de fantômes chinois
124935,Le Cobaye
138965,La Momie (Hammer)
126125,Expendables
495,Shaft
544508,Les magiciens du royaume perdu
228887,École Paternelle
842877,Le Continent des hommes-poissons
1274215,Mr. Vampire Collection
261590,Le Jour des Morts-Vivants
732461,47 Ronin
91588,OSS 117
