id_adherent,id_jardin,id_saison,date,montant
2809,1,1,2023-09-04,5
2810,1,1,2023-09-04,5
2811,1,1,2023-09-04,5
2812,1,1,2023-09-04,5
2813,1,1,2023-09-04,5
2814,1,1,2023-09-04,5
2815,1,1,2023-09-04,5
2816,1,1,2023-09-04,5
2817,1,1,2023-09-04,5
2818,1,1,2023-09-04,5
2819,1,1,2023-09-04,5
2820,1,1,2023-09-04,5
2821,1,1,2023-09-04,5
2822,1,1,2023-09-04,5
2823,1,1,2023-09-04,5
2824,1,1,2023-09-04,5
2825,1,1,2023-09-04,5
2826,1,1,2023-09-04,5
2827,1,1,2023-09-04,5
2828,1,1,2023-09-04,5
2829,1,1,2023-09-04,5
2830,1,1,2023-09-04,5
2831,1,1,2023-09-04,5
2832,1,1,2023-09-04,5
2833,1,1,2023-09-04,5
2834,1,1,2023-09-04,5
2835,1,1,2023-09-04,5
2836,1,1,2023-09-04,5
2837,1,1,2023-09-04,5
2838,1,1,2023-09-04,5
2839,1,1,2023-09-04,5
2840,1,1,2023-09-04,5
2841,1,1,2023-09-04,5
2842,1,1,2023-09-04,5
2843,1,1,2023-09-04,5
2844,1,1,2023-09-04,5
2845,1,1,2023-09-04,5
2846,1,1,2023-09-04,5
2847,1,1,2023-09-04,5
2848,1,1,2023-09-04,5
2849,1,1,2023-09-04,5
2850,1,1,2023-09-04,5
2851,1,1,2023-09-04,5
2852,1,1,2023-09-04,5
2853,1,1,2023-09-04,5
2854,1,1,2023-09-04,5
2855,1,1,2023-09-04,5
2856,1,1,2023-09-04,5
2857,1,1,2023-09-04,5
2858,1,1,2023-09-04,5
2859,1,1,2023-09-04,5
2860,1,1,2023-09-04,5
2861,1,1,2023-09-04,5
2862,1,1,2023-09-04,5
2863,1,1,2023-09-04,5
2864,1,1,2023-09-04,5
2865,1,1,2023-09-04,5
2866,1,1,2023-09-04,5
2867,1,1,2023-09-04,5
2868,1,1,2023-09-04,5
2869,1,1,2023-09-04,5
