id,nom,contactName,contactTitle,adresse_id,telephone,fax,banque
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,1001,(171) 555-2222,,1
2,New Orleans Cajun Delights,Shelley Burke,Order Administrator,1002,(100) 555-4822,,33
3,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,1003,(313) 555-5735,(313) 555-3349,5
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,1004,(03) 3555-5011,,4
5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,1005,(98) 598 76 54,,4
6,Mayumi's,Mayumi Ohno,Marketing Representative,1006,(06) 431-7877,,2
7,"Pavlova,Ltd.",Ian Devling,Marketing Manager,1007,(03) 444-2343,(03) 444-6588,3
8,"Specialty Biscuits,Ltd.",Peter Wilson,Sales Representative,1008,(161) 555-4448,,2
9,PB Knäckebröd AB,Lars Peterson,Sales Agent,1009,031-987 65 43,031-987 65 91,4
10,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,1010,(11) 555 4640,,8
11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,1011,(010) 9984510,,9
12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,1012,(069) 992755,,5
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,1013,(04721) 8713,(04721) 8714,6
14,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,1014,(0544) 60323,(0544) 60603,5
15,Norske Meierier,Beate Vileid,Marketing Manager,1015,(0)2-953010,,4
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,1016,(503) 555-9931,,5
17,Svensk Sjöföda AB,Michael Björn,Sales Representative,1017,08-123 45 67,,1
18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,1018,(1) 03.83.00.68,(1) 03.83.00.62,2
19,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,1019,(617) 555-3267,(617) 555-3389,5
20,Leka Trading,Chandra Leka,Owner,1020,555-8787,,1
21,Lyngbysild,Niels Petersen,Sales Manager,1021,43844108,43844115,7
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,1022,(12345) 1212,(12345) 1210,6
23,Karkki Oy,Anne Heikkonen,Product Manager,1023,(953) 10956,,5
24,"G'day, Mate",Wendy Mackenzie,Sales Representative,1024,(02) 555-5914,(02) 555-4873,6
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,1025,(514) 555-9022,,5
26,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,1026,(089) 6547665,(089) 6547667,1
27,Escargots Nouveaux,Marie Delamare,Sales Manager,1027,85.57.00.07,,7
28,Gai pâturage,Eliane Noz,Sales Representative,1028,38.76.98.06,38.76.98.58,8
29,Forêts d'érables,Chantal Goulet,Accounting Manager,1029,(514) 555-2955,(514) 555-2921,3
